time,text,event
Sun Jul 17 03:01:18 +0000 2011,"RT @pilaraguilarm: Autoridades confirman balacera en el interior del Cereso 2 d Gómez Palacio, Dgo @Vargasquinones",
Sun May 24 00:39:10 +0000 2009,Después d la balacera d Tikal Futura se dió la captura del capo 56 horas desps. Sospechosamente de este no hay rastros.,
Wed May 04 06:44:23 +0000 2011,RT @CesiaEstbn2012RT @ChicoNutella: Ya se extrañaba en Tabasco ese dulce olor a balacera cada 2 días.: RT @Chico... http://t.co/j0EiutJy,
Sat Jun 27 06:42:36 +0000 2009,Balacera entre polimilitares y ladrones de autos: 3 muertos http://t.co/i7FZci3o,
Sun Jul 24 01:18:42 +0000 2011,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN... http://t.co/BDZntw7x",
Sun Dec 06 05:15:27 +0000 2009,Se armo la balacera en la Casa de @elelicona y @rutbogran !! With @ademararau and _sofiaaaaa http://t.co/sBo2eKEn,
Tue Jun 19 08:16:44 +0000 2012,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sun May 24 21:23:13 +0000 2009,ALERTA - Balacera en Edificio del Departamento de Estado de U.S. http://t.co/cXo8MMw2,
Thu Jun 03 17:18:46 +0000 2010,Tres lesionados en balacera en centro comercial de Antiguo Cuscatlán http://t.co/OPz4y6Oy,
Sat Nov 07 22:57:15 +0000 2009,"RT @Nopiseslagrama: —Hola, ¿que haces? — Aquí, en una balacera entre federales y narcos, ¿y tú? —Enamorándome. —i¿QUE?! Ten cuidado, te  ...",
Tue May 01 21:34:01 +0000 2012,"-Hubo una balacera-, -¿Cual fue el saldo de los muertos?-, -no se, no revise sus celulares",
Thu Oct 11 13:39:39 +0000 2012,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Thu Oct 11 13:39:39 +0000 2012,"—Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO, TE VAN A LASTIMAR!""",
Wed Mar 02 22:00:39 +0000 2011,RT @shebelut: En una emisora. El Dj le pide a los oyentes que música quieren escuchar: y llama uno disque; Balacera. Por eso andamos com ...,
Thu Apr 10 02:47:54 +0000 2008,Balacera en Bucerias,
Thu Dec 31 06:36:17 +0000 2009,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Sat Apr 03 23:52:55 +0000 2010,"RT @Ave_Tuitera: —Hola, ¿Qué haces? —Aquí en una balacera entre los federales y el narco, ¿y tú? —Enamorándome —¡NO MAMES, TEN CUIDADO,  ...",
Thu Sep 15 00:18:10 +0000 2011,balacera en soriiana palmas :/,
Sun Oct 18 00:17:05 +0000 2009,"@Jamsy_jAm ""Iraq? Digale a la cucha que mis muchachos hacen la vuelta rápida y limpia, no están con una balacera berraca hom'e"" -El Patrón",
Wed Nov 03 18:55:06 +0000 2010,"Balacera entre polimilitares y ladrones de autos: 3 muertos
http://t.co/PUYRWkWJ",
Sun Jan 02 03:47:03 +0000 2011,@cd_victoria balacera en soriana plus 5:46 !,
Sat Jul 09 13:50:24 +0000 2011,Se registra balacera entre Militares y sicarios en Sinaloa: Sinaloa.-  La madrugada de éste sabado se registró u... http://t.co/KeYYzh0v,
Wed Feb 29 08:08:00 +0000 2012,Se registra balacera entre Militares y sicarios en Sinaloa: Sinaloa.-  La madrugada de éste sabado se registró u... http://t.co/whvp2g6G,
Sat Jan 14 16:46:30 +0000 2012,#MásdeNarcos Se registra balacera entre Militares y sicarios en Sinaloa: Sinaloa.-  La madrugada de éste sabado ... http://t.co/8eXkM8Yi,
